,S001,S005,S008,S009,S010,S011,S013,S018,S019,S021,S023,S024,S025,S026,S027,S028,S029,S033,S034,S037,S044,S046,S049,S064,S065,S066,S069,S070,S072,S081,S082,S083,S084,S086,S090,S094,S098,S100,S107
Nonomuraea coxensis,0,103,10,10,20,49,34,15,34,39,25,10,5,20,54,30,10,64,10,59,10,20,84,15,10,44,79,64,34,34,98,44,44,69,10,30,34,108,30
Actinomadura sp. WMMA1423,0,74,10,5,54,64,15,25,34,30,25,10,20,20,59,25,10,44,30,74,79,10,89,10,15,34,64,59,25,34,74,44,54,64,5,5,25,98,49
Bradyrhizobium sp. CB3035,0,0,74,15,0,5,0,49,20,10,64,10,15,138,30,15,10,0,64,15,94,5,25,30,20,5,34,30,49,25,25,39,64,49,10,0,5,5,54
Actinomadura graeca,25,79,10,10,54,54,64,15,25,25,39,10,10,15,20,25,5,79,0,44,10,30,84,20,15,39,59,94,10,20,49,25,25,74,5,34,39,98,59
Saccharopolyspora erythraea,25,69,25,5,34,59,79,0,44,10,30,10,15,25,49,34,10,108,25,39,25,34,39,20,30,79,30,44,10,25,39,30,30,44,5,25,74,113,15
Amycolatopsis sp. DSM 110486,0,84,34,10,54,49,34,25,25,49,34,15,25,20,39,54,5,89,25,25,59,34,30,20,15,44,44,59,10,20,49,30,30,59,10,15,25,39,25
Lelliottia sp. WB101,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
Actinomadura sp. NAK00032,25,79,15,5,54,30,0,0,20,30,34,15,15,15,34,15,25,44,30,54,10,30,84,15,30,39,84,79,34,30,44,34,54,25,15,15,44,118,30
Nocardioides sp. S5,0,30,10,5,34,39,0,10,5,300,5,522,34,54,39,34,5,10,49,5,10,10,15,5,5,10,10,15,0,15,5,5,15,5,25,5,39,10,5
Nocardioides sp. TF02-7,0,44,15,5,34,133,15,10,15,143,15,394,44,64,30,64,15,25,64,5,0,20,34,10,10,10,10,15,5,20,30,5,10,5,20,5,20,25,15
Rubrobacter tropicus,0,79,49,15,20,212,34,25,49,34,39,5,10,15,108,25,39,98,39,10,34,25,25,15,15,34,5,39,5,20,39,10,25,49,0,10,49,39,20
Pseudonocardia dioxanivorans,25,39,59,0,20,34,15,34,34,25,25,15,0,20,59,44,15,79,74,59,10,20,34,15,10,30,44,59,20,34,54,30,15,69,10,20,59,79,44
Thermobispora bispora,0,64,10,0,34,20,34,34,34,20,30,0,10,10,39,39,15,34,25,39,34,5,79,20,15,44,79,59,15,44,79,39,44,79,15,25,10,94,59
Sphingomonas sabuli,0,20,10,10,0,25,0,0,10,138,54,89,44,84,20,98,89,0,113,0,0,25,5,5,34,5,5,5,20,5,5,0,5,5,212,10,10,10,20
Bradyrhizobium cosmicum,0,10,49,0,0,10,0,39,5,44,44,15,10,79,25,20,5,10,79,34,25,5,34,5,25,25,49,30,69,34,39,59,34,20,15,5,0,20,54
Lelliottia sp. AC1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rubrobacter xylanophilus,0,138,30,20,34,138,34,25,30,39,10,15,20,15,113,34,49,69,49,39,0,25,30,20,20,44,10,34,5,5,30,5,25,15,0,10,74,49,30
Bradyrhizobium vignae,0,0,49,15,20,15,0,34,10,15,54,10,34,79,10,5,15,0,54,25,113,0,34,10,34,15,44,34,59,30,39,44,49,44,25,15,5,10,59
Bradyrhizobium sp. 14AB,0,10,49,0,20,5,15,34,34,25,34,15,44,118,10,10,5,0,39,30,44,30,25,5,34,15,44,25,59,39,15,54,34,20,15,0,0,25,49
Nocardioides aromaticivorans,0,25,10,5,0,74,0,15,20,315,5,251,10,74,39,64,25,20,54,5,25,25,20,25,10,10,20,15,0,25,15,10,20,10,25,15,25,15,15
Bradyrhizobium guangdongense,25,25,34,5,0,5,0,25,15,30,49,10,10,74,15,15,5,20,30,39,59,0,10,15,34,30,39,44,59,54,20,59,44,49,30,0,0,25,49
Piscinibacter sp. XHJ-5,0,10,25,89,0,79,15,113,39,34,44,10,25,30,54,20,182,10,30,5,0,10,30,20,15,15,5,20,10,15,15,15,30,15,44,10,15,20,49
Tautonia plasticadhaerens,0,25,44,10,0,39,0,39,34,10,30,5,20,25,34,10,10,20,0,59,148,20,74,20,15,39,20,49,20,39,39,30,64,79,5,25,15,103,69
Terriglobus roseus,0,5,10,0,0,5,15,15,20,5,15,0,10,25,15,10,10,0,25,148,10,0,20,5,84,44,59,34,34,153,143,69,138,15,0,0,10,39,20
Nocardioides sp. HDW12B,0,25,10,10,69,64,49,10,39,123,15,246,49,49,74,74,25,20,39,25,10,5,25,30,10,15,10,20,5,20,10,15,10,5,15,15,49,15,10
Actinomadura sp. WMMB 499,25,25,10,10,54,49,0,15,25,10,25,10,20,25,20,30,10,25,39,34,34,25,79,20,20,34,54,74,20,44,79,49,44,44,5,64,34,69,34
Granulicella mallensis,0,0,5,5,0,5,0,25,15,0,25,0,15,25,10,10,15,0,15,89,10,10,34,5,69,34,49,30,30,118,108,94,98,15,0,0,15,30,30
Nocardioides sp. zg-1228,0,39,25,0,69,39,34,0,10,207,15,394,64,49,39,59,25,25,10,10,0,10,15,5,5,5,5,10,0,5,10,10,5,5,30,10,39,20,5
Urbifossiella limnaea,0,25,30,15,34,30,15,15,34,20,15,10,5,25,25,25,15,20,25,39,128,30,79,20,25,25,10,103,20,15,39,15,59,79,0,25,20,98,69
Phytohabitans flavus,44,69,30,15,54,74,34,10,30,39,44,5,10,5,44,25,30,89,15,39,25,10,64,5,15,34,44,34,10,15,34,15,30,30,0,25,69,64,25
Dactylosporangium fulvum,0,69,25,0,103,20,49,10,20,34,39,10,10,10,44,25,15,54,25,15,59,39,84,25,25,30,34,44,5,20,49,25,25,25,0,20,49,84,39
Nocardioides sp. InS609-2,0,25,10,10,69,59,0,10,10,98,25,325,20,69,54,84,30,25,74,5,0,34,25,15,5,25,5,10,5,15,15,10,5,10,20,15,39,20,5
Bradyrhizobium sp. CCBAU 53351,0,5,54,20,0,5,0,15,20,20,15,113,15,84,25,25,10,0,49,20,34,5,34,10,30,15,34,25,59,34,15,44,34,54,30,5,0,25,54
Geodermatophilus obscurus,0,64,30,15,158,49,49,34,34,123,25,10,20,15,59,20,49,64,10,49,0,10,64,10,10,20,30,30,0,15,30,20,15,34,5,20,54,20,25
Microvirga ossetica,0,20,30,5,34,84,0,84,30,39,39,0,15,25,94,15,25,20,39,10,69,5,69,15,20,15,15,15,25,20,20,30,69,44,0,5,5,15,89
Nocardioides euryhalodurans,0,39,30,10,54,84,49,15,10,98,25,271,44,54,49,89,15,10,94,10,10,34,0,20,5,5,10,10,5,5,10,5,10,0,10,5,49,25,15
Paraburkholderia terrae,25,0,5,10,0,0,0,25,15,0,15,0,10,59,10,10,10,0,54,39,0,5,20,5,25,10,5,15,15,10,34,20,15,15,5,10,5,5,10
Phytohabitans suffuscus,25,79,30,0,103,64,34,25,20,25,20,15,15,10,49,34,30,64,39,34,34,25,44,20,15,39,34,34,5,15,49,25,20,49,10,20,30,49,30
Thermomonospora curvata,0,39,10,5,20,39,49,0,10,25,30,5,15,10,30,10,15,20,30,34,25,10,79,20,15,30,74,79,15,39,69,39,30,49,0,59,20,148,59
Methylorubrum populi,25,15,30,15,34,25,15,39,54,128,89,0,15,25,34,10,25,25,25,20,0,0,59,15,30,44,44,20,25,34,74,34,54,20,5,34,10,20,30
Nitrobacter hamburgensis,0,0,59,10,0,15,0,59,39,20,74,5,20,25,15,5,0,0,10,49,34,0,44,5,25,138,34,20,10,44,34,74,64,25,10,5,10,15,69
Bradyrhizobium guangzhouense,0,10,30,5,20,0,0,15,10,0,34,10,25,59,5,20,10,10,30,44,44,0,34,20,34,34,49,39,123,44,20,59,15,49,64,0,15,25,34
Actinopolymorpha singaporensis,0,64,20,15,103,44,64,25,39,30,59,15,25,15,54,34,0,34,25,20,25,30,54,5,10,25,30,39,15,20,34,25,30,44,0,30,39,64,15
Nocardioides sp. S-1144,25,25,10,5,20,69,0,10,15,94,39,340,25,49,44,54,15,20,79,10,0,25,30,20,5,15,20,15,15,10,15,0,10,5,15,10,44,25,20
Sphingomonas sinipercae,0,20,10,5,0,30,0,0,10,162,25,89,49,59,20,69,54,10,128,5,0,5,10,0,44,0,5,10,10,5,15,0,5,0,202,0,10,10,15
Mycolicibacterium mucogenicum,0,5,25,5,0,0,0,0,0,5,0,5,10,5,0,1004,0,0,10,0,25,25,5,0,0,5,10,10,5,5,5,5,5,10,0,10,5,10,0
Nocardioides sp. QY071,0,20,10,0,54,74,15,10,15,123,34,222,25,79,20,64,10,44,74,34,10,39,25,20,5,15,20,15,10,10,20,10,10,15,25,5,20,25,15
Variibacter gotjawalensis,0,5,30,15,0,15,0,98,34,10,25,0,54,20,15,15,30,25,25,39,25,0,59,25,20,10,34,10,30,34,39,44,69,30,0,5,0,64,143
Streptacidiphilus sp. P02-A3a,25,49,15,5,54,54,49,0,10,15,10,5,10,15,34,25,0,34,30,39,25,5,54,10,49,30,79,69,44,44,49,49,25,34,5,25,5,79,25
Enterobacter huaxiensis,0,0,0,5,0,0,0,0,0,10,10,0,20,0,10,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,5,0,5
Aquisphaera giovannonii,0,15,30,10,20,34,15,25,39,15,5,5,39,20,39,15,34,10,15,20,94,5,79,15,20,25,25,44,25,34,54,39,69,69,0,10,20,69,74
Dyella terrae,0,0,5,0,0,5,0,0,5,0,0,0,0,15,0,0,0,10,0,15,0,0,15,5,15,15,5,5,5,10,15,15,10,0,10,0,0,5,10
Bradyrhizobium pachyrhizi,0,0,20,10,20,0,0,25,15,25,25,5,39,54,34,89,10,10,79,39,10,25,30,10,39,15,30,30,59,34,39,39,64,30,10,0,10,5,44
Stella humosa,0,5,15,5,20,30,15,39,10,0,20,0,25,15,20,20,10,0,39,39,10,5,79,10,49,15,34,49,64,25,49,49,59,44,10,10,15,30,69
Bradyrhizobium sp. CB1015,0,10,30,10,34,20,0,49,20,25,54,15,15,94,20,10,0,10,54,30,44,0,20,0,34,15,30,30,69,44,20,49,30,34,15,5,5,10,25
Catellatospora sp. IY07-71,0,79,20,5,34,49,34,39,20,34,25,5,5,20,94,34,34,133,10,25,0,5,79,15,10,30,30,30,10,15,34,10,15,20,15,25,44,69,15
Nocardioides okcheonensis,25,15,5,10,34,39,0,25,10,148,25,325,64,34,59,64,30,10,30,10,0,10,25,20,5,10,15,5,5,15,15,15,10,10,30,5,20,25,0
Actinoplanes ianthinogenes,0,69,20,20,69,59,34,0,15,44,25,15,10,15,30,39,5,44,30,15,44,20,39,20,10,25,39,39,15,25,69,25,30,34,5,10,49,89,20
Jatrophihabitans sp. SB3-54,25,34,10,5,54,25,0,25,15,20,25,10,34,20,25,138,0,44,113,20,25,5,103,5,10,20,44,34,20,34,25,15,15,20,20,34,25,54,25
Nitrospira moscoviensis,0,0,20,15,20,15,15,231,64,10,34,0,74,20,74,5,44,10,0,39,10,59,15,64,5,15,10,10,5,20,20,20,30,5,0,5,15,10,158
Bacillus tropicus,0,20,20,89,0,5,15,25,15,5,5,59,44,10,5,25,15,0,30,39,10,84,10,108,44,20,30,34,44,30,25,30,15,15,69,108,64,10,0
Aquihabitans sp. G128,25,128,30,0,34,79,0,49,25,59,15,20,15,10,84,30,44,153,15,25,10,20,25,5,5,10,5,30,5,25,20,10,10,5,30,25,25,15,25
Arthrobacter sp. MMS18-M83,0,15,0,5,0,15,15,25,15,5,15,5,10,359,5,44,0,10,89,0,0,271,0,202,5,30,5,5,10,5,0,0,0,0,0,5,0,10,0
Actinoplanes sp. L3-i22,0,44,25,10,69,54,34,15,30,49,25,15,15,15,59,39,10,25,54,30,0,5,49,15,15,34,49,39,5,25,54,25,10,15,0,30,25,89,5
Actinoplanes friuliensis,25,69,20,15,123,34,34,10,15,108,0,20,20,10,44,59,30,54,30,30,10,5,25,10,20,20,20,25,15,20,20,20,5,20,5,34,44,54,15
Paraburkholderia hospita,0,0,15,0,0,5,0,0,5,0,10,0,0,30,5,20,5,0,54,15,34,10,10,10,15,5,5,5,20,5,15,5,25,0,0,5,0,10,25
Rhodococcus opacus,0,34,74,5,54,49,34,59,49,15,25,20,15,20,34,34,25,69,15,34,10,10,44,20,10,15,30,34,5,10,20,25,34,25,0,15,20,30,15
Nocardioides sp. cx-173,0,25,10,0,69,49,0,10,10,98,0,350,25,69,49,79,25,10,54,15,10,10,15,20,5,5,10,10,5,20,15,20,10,5,10,0,34,15,5
Bradyrhizobium australafricanum,0,5,44,5,0,5,0,34,15,5,34,0,10,64,30,133,5,10,49,15,34,0,44,20,30,10,20,25,20,34,25,34,64,59,5,0,5,15,49
Hypericibacter terrae,0,5,20,15,0,30,15,15,30,5,25,10,20,25,20,15,34,20,25,30,44,49,89,20,39,20,34,25,30,20,54,49,64,25,0,5,10,20,34
Nocardioides sp. JQ2195,0,30,5,10,20,84,15,0,10,133,0,231,64,79,20,74,25,20,64,10,0,30,0,20,10,20,15,15,5,30,10,10,5,15,20,0,25,10,15
Singulisphaera acidiphila,0,15,44,10,0,15,0,15,54,15,25,5,15,30,25,10,10,0,15,44,172,54,44,25,25,39,20,34,25,30,30,30,34,64,0,10,15,44,49
Granulicella sp. WH15,0,0,20,5,20,10,15,15,15,0,20,0,5,15,5,20,10,20,25,94,25,0,20,5,74,44,34,25,20,143,133,59,59,15,0,5,10,20,15
Jiangella sp. DSM 45060,0,54,30,15,34,69,64,25,30,30,15,20,10,15,54,34,30,44,25,20,25,34,39,10,15,30,34,30,10,20,34,20,25,30,10,15,64,49,25
Mycolicibacterium litorale,25,39,133,5,69,25,15,64,10,30,5,5,0,10,15,15,15,0,10,15,44,5,20,5,5,10,20,39,20,15,30,15,25,15,0,34,15,25,10
Frigoriglobus tundricola,0,25,20,15,34,30,15,49,44,0,44,5,20,25,20,15,25,0,10,15,148,5,34,10,15,25,25,54,34,15,15,15,54,84,10,0,20,69,54
Edaphobacter sp. 12200R-103,0,0,10,0,0,15,0,15,10,0,30,5,10,20,5,5,5,10,15,79,69,0,10,15,54,25,39,20,49,128,89,74,108,30,0,0,0,15,39
Iamia sp. SCSIO 61187,44,79,44,30,54,74,34,25,34,34,30,15,34,10,64,25,25,162,15,25,0,5,25,10,5,15,10,20,10,10,5,20,15,5,25,5,25,20,15
Actinoplanes sp. N902-109,0,30,30,15,89,30,0,25,25,54,15,15,20,15,74,34,5,98,64,25,10,10,49,20,10,25,44,30,10,20,49,5,30,25,0,25,34,34,15
Jiangella alkaliphila,0,84,20,0,34,84,34,10,25,20,30,15,0,25,39,25,39,44,10,20,25,20,59,20,15,25,34,30,10,10,30,15,15,30,5,15,74,59,30
Hypericibacter adhaerens,0,20,20,5,0,44,0,10,20,10,15,5,15,15,20,10,34,25,25,15,34,20,59,5,49,20,34,39,39,54,89,39,34,49,5,0,15,20,34
Kribbella qitaiheensis,0,54,30,0,54,34,49,25,44,39,15,25,34,20,44,44,10,69,15,25,44,0,25,5,15,34,34,39,10,5,25,15,20,44,10,20,49,44,15
Aquihabitans sp. Kera 3,25,44,34,20,34,39,34,34,34,34,39,15,44,15,69,39,25,89,15,20,34,10,39,5,20,15,10,15,10,15,15,34,15,15,20,15,10,30,25
Bradyrhizobium sp. CB1717,0,5,44,5,0,5,0,49,25,25,59,5,10,89,30,10,0,10,10,20,59,5,5,5,30,25,30,15,39,34,10,39,34,34,15,0,5,10,84
Micromonospora inositola,0,74,25,30,138,25,15,39,34,49,25,5,5,10,30,25,34,64,39,10,25,49,30,15,15,25,39,25,5,10,20,10,5,10,0,15,44,30,25
Modestobacter marinus,25,84,10,20,69,44,49,10,34,103,10,20,5,0,64,34,49,20,25,25,10,5,44,5,20,20,34,30,25,25,25,15,15,25,10,0,20,34,25
Amycolatopsis sp. FDAARGOS 1241,0,49,30,30,54,39,0,15,20,34,10,5,15,20,39,20,39,69,0,20,25,20,79,5,20,20,39,39,25,25,59,25,34,5,0,15,39,79,30
Caulobacter segnis,0,15,15,15,0,39,0,25,20,44,44,15,44,20,20,15,34,20,10,15,44,54,25,20,54,25,20,25,20,25,74,30,30,15,10,59,15,25,44
Nocardia brasiliensis,0,34,49,15,103,30,98,15,5,20,20,15,15,15,49,30,5,34,30,25,10,10,25,5,20,20,25,39,10,25,44,20,30,30,5,15,25,54,44
Nocardioides sp. WS12,0,10,5,5,0,49,0,34,10,158,25,241,49,84,30,39,34,10,15,10,0,25,10,25,5,15,10,20,5,20,20,10,10,15,15,10,30,20,10
Nocardioides sp. CF8,0,25,10,15,69,89,34,15,10,98,5,295,49,54,34,54,10,25,30,0,0,20,10,15,5,5,5,5,5,15,10,10,10,0,15,0,20,10,15
Actinomarinicola tropica,44,44,30,5,54,69,0,39,39,25,20,10,39,10,74,20,10,108,39,30,10,10,25,5,10,20,5,30,5,25,20,44,10,5,39,5,15,25,30
Kribbella flavida,0,64,34,0,69,44,34,10,10,20,15,20,10,25,74,49,10,25,25,25,25,20,54,5,15,20,20,30,10,15,30,20,39,10,10,5,69,54,39
Actinoplanes sp. OR16,25,49,20,30,89,49,0,10,20,59,25,15,25,10,39,39,10,89,54,39,10,0,54,0,10,20,15,30,10,5,15,20,10,49,10,5,25,44,34
Streptomyces sp. CB01881,25,59,5,10,54,39,34,0,25,10,10,10,0,10,54,39,5,69,25,39,34,39,30,15,25,94,30,39,15,34,30,30,15,15,0,15,25,30,20
Nocardioides marmotae,25,25,25,5,69,39,15,0,10,108,25,286,20,39,74,44,10,34,15,10,10,0,10,15,0,20,5,5,5,5,10,5,5,5,10,5,25,20,5
Amycolatopsis mediterranei,0,54,20,10,69,30,64,0,10,34,25,5,5,10,44,34,15,54,49,34,25,5,59,5,10,25,25,49,15,15,20,25,20,10,10,10,39,49,39
Bradyrhizobium sp. CB1024,0,5,25,0,0,5,0,59,10,15,25,10,10,69,25,5,34,10,25,39,25,10,25,10,15,10,34,30,49,34,30,39,34,30,30,5,10,10,39
Rhodopseudomonas sp. P2A-2r,25,20,34,0,0,5,0,59,15,20,25,0,25,30,15,15,15,10,30,39,0,0,44,5,20,15,10,15,10,44,15,69,30,25,0,0,5,20,49
Ensifer adhaerens,0,0,15,5,0,20,0,49,30,5,10,0,20,25,241,15,30,20,15,30,25,10,39,5,20,15,25,15,10,20,44,39,54,5,0,20,15,15,49
Pseudonocardia broussonetiae,25,59,34,5,34,69,34,10,30,44,20,0,5,15,69,39,10,34,30,25,10,10,34,15,10,25,25,44,5,30,39,15,15,15,5,10,54,44,15
Paraburkholderia acidiphila,0,0,10,0,0,5,0,0,10,0,0,0,5,5,5,10,10,0,15,15,10,10,5,10,25,34,10,15,10,25,30,89,44,414,0,5,10,10,25
Oscillatoria nigro-viridis,0,0,0,0,0,0,0,0,5,0,0,1004,5,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,5,0,5,0,0,0,0,0,5
Nocardioides coralli,0,34,10,0,54,89,15,15,10,39,10,197,10,44,39,74,10,25,89,10,0,20,20,5,10,5,10,10,5,15,15,10,5,10,30,5,34,20,20
Cupriavidus taiwanensis,0,25,30,34,0,39,0,59,34,5,25,5,10,15,64,25,39,20,25,15,0,5,25,15,20,25,20,30,25,25,39,34,49,10,20,25,25,34,49
Saccharothrix syringae,69,94,15,5,103,39,34,0,25,5,15,5,10,15,25,34,30,98,0,5,0,20,44,20,15,25,34,34,5,5,30,15,20,10,0,15,20,49,25
Couchioplanes caeruleus,0,49,30,10,103,39,0,15,30,64,5,20,25,5,44,44,30,25,30,30,10,5,39,10,15,30,34,25,10,20,30,15,20,20,5,10,39,39,25
Amycolatopsis sp. WQ 127309,25,34,10,20,0,49,0,25,30,25,25,15,10,5,39,30,30,44,39,30,25,30,49,10,25,25,44,49,5,20,44,25,20,25,0,25,15,54,25
Sphaerobacter thermophilus,0,25,20,20,0,59,15,15,34,10,20,5,20,10,25,20,25,20,54,39,10,54,25,34,34,64,10,34,5,10,30,15,15,44,0,64,30,44,30
Bradyrhizobium sp. C-145,0,0,74,10,0,5,0,34,34,0,59,5,5,89,10,10,0,0,25,15,59,20,25,5,15,15,20,20,34,15,30,15,34,25,5,0,5,10,39
Edaphobacter flagellatus,0,0,10,5,0,5,0,10,10,0,15,0,15,20,5,5,0,0,0,79,44,25,10,0,69,25,39,34,34,94,69,79,64,10,0,0,10,30,25
Kutzneria albida,0,44,5,5,54,59,0,10,15,10,25,15,5,10,15,34,10,54,10,34,44,20,34,15,20,39,54,59,20,20,54,15,15,30,5,30,25,54,15
Nocardioides sp. B-3,0,25,5,5,20,64,15,0,5,113,20,266,54,74,34,59,5,25,39,10,0,20,5,5,5,5,5,5,0,5,5,5,0,5,10,25,20,15,15
Nocardioides humi,0,25,30,5,20,69,0,15,5,74,30,192,39,59,39,49,15,10,25,5,0,25,25,10,5,15,15,5,5,15,34,10,10,20,10,10,20,30,20
Burkholderia ubonensis,25,20,25,10,0,5,0,15,20,15,10,10,15,15,10,25,49,34,10,39,25,30,34,5,25,25,15,15,5,25,20,34,158,25,15,10,15,25,25
Nocardioides dongkuii,0,39,20,0,0,54,0,0,15,54,25,320,20,59,44,64,30,25,39,25,10,0,25,5,5,15,5,20,0,10,5,0,5,5,20,0,25,5,0
Marmoricola scoriae,0,54,20,15,20,49,0,10,10,34,10,89,34,89,34,74,25,25,39,5,25,10,30,34,10,20,10,20,10,10,30,15,20,5,20,15,20,30,10
Sphingomonas sp. HDW15A,0,10,10,5,34,49,0,15,20,138,30,39,44,34,20,30,84,0,89,0,0,0,5,5,30,5,5,0,5,0,5,5,15,0,143,0,0,5,5
Bacillus cytotoxicus,0,25,20,84,20,5,64,34,34,10,20,25,44,15,5,15,25,0,30,25,0,59,25,34,34,20,15,15,34,20,15,20,25,44,25,39,34,15,0
Granulicella sp. 5B5,0,5,10,0,0,10,0,10,10,0,10,0,5,15,10,5,0,0,25,74,34,20,5,5,64,25,49,25,30,98,108,108,54,15,5,5,0,25,25
Egibacter rhizosphaerae,44,34,20,34,54,39,49,34,54,34,25,5,49,15,34,34,5,54,39,20,25,10,44,15,5,5,5,25,0,5,15,10,10,0,5,5,34,30,15
Rubrobacter marinus,25,59,20,15,0,103,15,10,20,30,44,10,34,20,49,30,30,123,54,25,10,20,15,5,10,15,10,15,0,0,15,10,5,10,0,15,54,25,15
Sinorhizobium fredii,0,25,44,5,0,49,0,39,44,10,25,0,15,20,30,15,34,10,30,25,10,25,25,20,25,30,15,20,20,30,25,34,98,10,10,20,5,10,39
Paenibacillus woosongensis,0,54,0,207,0,5,0,0,0,49,0,138,15,0,10,15,30,0,0,10,25,39,20,74,30,34,39,5,20,10,5,15,0,15,54,15,30,15,0
Nocardioides sp. L-11A,0,30,10,5,0,59,15,0,20,84,25,153,34,64,39,64,15,25,15,10,0,30,10,15,10,20,20,20,5,15,20,15,0,20,20,20,25,25,20
Cupriavidus necator,0,10,25,5,0,10,0,59,25,0,34,0,0,25,123,15,30,10,10,15,34,30,5,59,44,20,15,10,15,39,20,25,59,30,15,5,0,25,39
Bradyrhizobium guangxiense,0,5,30,5,20,5,0,15,20,5,25,25,0,64,10,10,5,10,54,15,34,5,39,20,34,15,34,20,54,34,15,44,34,10,30,0,0,5,44
Candidatus Mycobacterium methanotrophicum,0,15,113,10,54,15,0,113,49,10,30,0,15,15,0,5,0,34,10,5,25,0,20,15,5,5,15,103,5,5,20,5,10,30,0,10,5,34,0
Bradyrhizobium sp. CCGE-LA001,0,0,10,5,0,5,0,25,30,15,30,5,15,74,15,15,5,0,10,30,44,5,0,10,30,15,25,25,34,34,15,49,44,25,15,5,0,5,49
Mycolicibacterium sp. YH-1,0,10,118,0,20,30,0,25,20,34,5,0,15,10,20,69,10,20,15,0,34,0,25,5,5,10,10,44,10,10,0,10,15,5,0,25,5,30,5
Paenibacillus sp. JZ16,0,34,0,172,0,10,0,0,10,25,5,138,39,5,5,10,25,0,10,15,10,30,10,59,44,25,30,20,20,15,5,5,5,10,69,74,20,20,0
Paraburkholderia terricola,0,5,10,15,0,5,0,10,25,0,0,0,10,5,5,5,10,0,10,5,0,5,10,0,39,5,10,5,25,20,10,10,10,10,0,5,0,0,10
Kutzneria chonburiensis,0,84,5,5,20,39,0,15,15,5,25,10,5,10,25,34,5,25,39,25,25,10,25,5,15,30,69,64,10,25,30,20,30,44,10,25,20,59,15
Archangium violaceum,0,25,25,10,0,34,0,34,34,15,25,5,5,25,25,20,25,34,15,39,10,34,64,25,25,39,15,39,10,25,25,25,34,20,0,34,30,30,15
Kitasatospora sp. MMS16-BH015,0,49,5,0,54,20,15,15,30,20,25,15,5,15,20,30,5,89,15,15,10,30,25,20,25,123,15,25,10,20,30,30,15,10,0,15,15,54,25
Nocardioides rotundus,0,54,0,5,34,44,15,10,15,44,20,138,20,49,44,74,10,0,64,25,10,20,15,10,10,20,15,20,10,10,20,5,5,5,15,0,34,20,15
Streptomyces lunaelactis,0,44,25,5,54,25,34,34,30,25,0,0,5,5,20,25,25,123,15,10,34,25,25,15,39,20,20,25,10,20,20,10,20,44,0,15,54,20,5
Blastococcus saxobsidens,25,69,5,10,20,39,49,10,30,138,20,20,10,10,44,34,15,44,15,15,25,5,39,10,10,5,20,15,5,5,15,20,15,10,10,15,30,30,15
Crossiella sp. CA-258035,0,64,10,5,20,30,0,25,25,25,25,5,10,5,39,20,34,98,25,30,25,5,34,10,20,20,25,39,5,25,34,25,15,5,5,25,20,59,15
Lysobacter sp. KIS68-7,0,10,5,10,0,15,0,25,20,30,44,5,69,20,15,10,44,10,10,5,0,0,0,5,10,5,0,5,0,5,10,10,5,10,419,0,10,5,25
Lysobacter enzymogenes,0,15,10,34,0,15,0,10,30,25,20,10,84,20,10,25,10,20,25,20,0,5,10,5,15,34,15,20,10,5,10,5,39,5,192,5,10,34,25
Paraburkholderia bryophila,0,0,10,0,0,5,0,15,10,10,0,0,0,5,5,5,15,10,0,15,10,0,0,0,34,5,5,15,25,20,5,15,15,5,0,5,5,0,10
Pseudomonas putida,0,30,10,10,0,20,0,59,30,20,25,15,5,25,30,15,34,34,10,20,10,5,39,15,44,39,34,30,10,30,34,20,20,20,10,25,15,25,39
Sphingomonas piscis,0,25,0,5,0,20,0,10,10,123,30,54,54,64,20,59,49,10,25,10,0,0,10,5,34,0,5,0,10,5,10,0,0,0,162,5,10,5,10
Mycolicibacterium moriokaense,0,15,192,15,0,5,0,10,10,25,10,5,15,15,20,20,5,10,10,0,0,0,5,0,10,5,10,34,15,5,5,5,10,0,0,15,10,15,10
Nocardia terpenica,25,49,30,10,69,15,34,10,34,20,25,10,0,10,25,25,5,10,15,30,34,20,39,20,20,25,25,25,10,34,30,15,25,10,5,30,20,39,15
Sphingomonas ginsengisoli An et al. 2013,0,20,0,5,20,39,0,15,15,49,44,69,20,64,5,49,49,0,54,10,0,0,15,5,30,5,5,5,0,5,5,0,5,5,148,10,5,10,5
Pseudomonas fluorescens,0,15,25,10,20,15,0,34,30,10,10,5,0,25,20,20,30,20,10,34,0,25,30,20,25,20,34,30,39,39,25,30,64,54,5,10,0,20,44
Iamia majanohamensis,69,54,20,15,0,49,64,15,15,39,25,0,10,25,69,34,10,123,10,10,10,20,25,10,10,20,15,25,10,5,5,10,10,0,20,0,20,25,15
Mycolicibacterium celeriflavum,0,20,153,0,0,5,0,49,15,34,5,10,10,10,15,15,0,10,0,5,25,0,15,0,5,5,5,34,30,5,20,0,5,0,0,0,5,15,5
Mycolicibacterium gadium,0,20,172,0,20,20,0,0,20,20,5,5,10,10,10,15,5,0,0,5,0,10,5,5,5,0,0,39,20,5,5,10,10,0,0,5,10,20,0
